"id" "day" "Dose" "LOGTV"
"172" 11 -12 0 3.65341919939505
"173" 11 -9 0 4.00112162048103
"174" 11 -6 0 4.19493921770104
"175" 11 -2 0 4.81821238364354
"176" 11 0 0 5.01475477725315
"177" 11 2 0 5.6490400534832
"178" 11 5 0 5.85793315448346
"179" 11 7 0 5.94533651666942
"180" 11 9 0 6.22822327138075
"181" 11 12 0 6.47609763072371
"182" 11 14 0 6.60909608635219
"183" 11 16 0 6.76440710476345
"184" 11 20 0 7.09419631893298
"185" 11 23 0 7.28541996805063
"186" 11 26 0 7.39699554823337
"187" 11 28 0 7.50585158748562
"188" 12 -14 0 2.79760191169363
"189" 12 -12 0 2.79760191169363
"190" 12 -9 0 3.01225317715464
"191" 12 -6 0 3.36683634425098
"192" 12 -2 0 3.94848464076413
"193" 12 0 0 4.00112162048103
"194" 12 2 0 4.55668230292637
"195" 12 5 0 4.59197804904167
"196" 12 7 0 4.75697939186316
"197" 12 9 0 4.87704345337346
"198" 12 12 0 5.18850250054083
"199" 12 14 0 5.40627551530758
"200" 12 16 0 5.09169471883447
"201" 12 20 0 5.66618309721863
"202" 12 23 0 5.79670016270308
"203" 12 26 0 5.59640307376629
"204" 12 28 0 5.52321782751214
"205" 13 -14 0 2.90876386992421
"206" 13 -12 0 3.51696153208646
"207" 13 -9 0 3.5867415555388
"208" 13 -6 0 4.69313997023496
"209" 13 -2 0 4.84791632458781
"210" 13 0 0 5.18850250054083
"211" 13 2 0 5.5602567463977
"212" 13 5 0 5.52321782751214
"213" 13 7 0 5.6490400534832
"214" 13 9 0 5.93111840073761
"215" 13 12 0 6.43582675566943
"216" 13 14 0 6.45609733441951
"217" 13 16 0 6.73961315183664
"218" 13 20 0 6.9991418980341
"219" 13 23 0 7.26794404222067
"220" 13 26 0 7.2502621085926
"221" 13 28 0 7.39160954603728
"222" 14 -14 0 3.28573551234557
"223" 14 -12 0 3.28573551234557
"224" 14 -9 0 3.5867415555388
"225" 14 -6 0 4.28319996773544
"226" 14 -2 0 5.09169471883447
"227" 14 0 0 5.6141547602368
"228" 14 2 0 5.73286074107488
"229" 14 5 0 6.22822327138075
"230" 14 7 0 6.21645850518921
"231" 14 9 0 6.74792342240006
"232" 14 12 0 6.82858801757127
"233" 14 14 0 7.11380444128401
"234" 14 16 0 7.2502621085926
"235" 14 20 0 7.49581810525943
"236" 14 23 0 7.50084323558735
"237" 14 26 0 7.62129314918982
"238" 14 28 0 7.55503632172011
"239" 15 -14 0 3.10906095886099
"240" 15 -12 0 3.36683634425098
"241" 15 -9 0 3.51696153208646
"242" 15 -6 0 4.10115868222904
"243" 15 -2 0 5.04084239132095
"244" 15 0 0 5.23465998854096
"245" 15 2 0 5.57843878719622
"246" 15 5 0 5.78099321290213
"247" 15 7 0 5.66618309721863
"248" 15 9 0 6.28570156783395
"249" 15 12 0 6.48599865677074
"250" 15 14 0 6.55353417883167
"251" 15 16 0 6.6714195907215
"252" 15 20 0 6.84421315885865
"253" 15 23 0 7.07432847880795
"254" 15 26 0 7.41834822196618
"255" 15 28 0 7.44981790766997
"256" 16 -14 0 3.28573551234557
"257" 16 -12 0 3.19999789158565
"258" 16 -9 0 3.83732268253355
"259" 16 -6 0 4.19493921770104
"260" 16 -2 0 4.87704345337346
"261" 16 0 0 4.96117765335003
"262" 16 2 0 4.98820541160405
"263" 16 5 0 5.48524111553571
"264" 16 7 0 5.32292073857536
"265" 16 9 0 5.82762909350718
"266" 16 12 0 5.95942112719418
"267" 16 14 0 5.95942112719418
